CODIMUNI;NOMMUNI;2017_mean;2017_min;2017_max;2018_mean;2018_min;2018_max;2019_mean;2019_min;2019_max;2020_mean;2020_min;2020_max
080018;Abrera;69.59;68.70;70.79;158.09;150.10;163.65;80.15;78.33;83.18;118.09;114.28;119.64
080039;Alella;63.87;60.85;66.10;150.84;148.11;153.50;81.99;80.59;82.64;111.95;104.35;116.29
080057;l'Ametlla del Vallﬁs;69.39;67.11;72.07;127.58;125.63;130.88;75.93;74.81;77.17;125.15;122.86;128.60
080060;Arenys de Mar;67.30;65.64;68.27;130.99;127.03;137.06;94.83;92.65;96.10;150.37;148.14;152.27
080076;Arenys de Munt;67.87;65.84;68.99;139.88;130.21;146.35;92.26;89.12;95.18;153.15;149.03;156.82
080095;Argentona;67.04;63.78;69.48;139.88;135.96;143.43;83.78;83.31;84.59;130.17;123.89;136.62
080137;Avinyonet del Penedﬁs;66.76;65.94;67.32;141.24;139.73;142.78;81.54;79.22;84.69;131.93;127.32;136.40
080142;Aiguafreda;74.25;73.98;74.55;139.63;137.79;141.01;86.93;84.56;89.42;127.24;124.27;129.96
080155;Badalona;76.81;72.70;81.38;151.68;146.81;156.94;90.33;84.52;96.96;125.03;115.43;132.98
080193;Barcelona;77.76;63.02;81.52;160.51;138.36;180.03;100.15;82.70;113.39;134.06;114.95;150.31
080207;Begues;73.29;68.77;77.33;143.28;135.23;154.18;77.21;73.70;80.53;147.24;138.60;154.05
080235;Bigues i Riells;72.60;70.71;74.27;131.53;125.77;137.61;75.80;75.00;76.89;120.95;119.24;122.87
080272;les Cabanyes;65.20;64.60;65.66;136.66;135.05;137.85;73.84;72.08;75.91;119.53;116.26;122.94
080291;Cabrera de Mar;72.16;69.73;76.56;144.11;140.76;147.65;85.44;83.44;89.15;123.57;119.02;125.98
080305;Cabrils;69.59;67.95;72.45;147.18;145.10;149.12;83.39;82.96;84.30;118.78;115.30;120.97
080327;Caldes d'Estrac;67.81;67.34;67.86;137.50;136.82;140.88;95.07;93.81;95.19;147.64;142.79;147.96
080333;Caldes de Montbui;73.08;69.43;75.71;129.26;113.91;148.66;77.51;74.27;80.92;120.92;117.80;122.28
080351;Calella;62.14;61.71;62.49;123.16;120.01;127.21;83.27;82.00;84.56;134.91;133.20;136.64
080399;Campins;81.31;79.62;82.51;174.13;170.92;176.97;80.29;77.71;82.22;153.88;150.78;156.53
080403;Canet de Mar;64.54;63.69;66.16;127.90;124.46;132.72;90.16;89.26;91.19;145.05;142.91;148.33
080410;Canovelles;65.84;64.96;66.91;126.98;124.47;130.39;76.44;75.30;77.50;128.36;126.87;130.09
080425;C”noves i Samal∑s;73.59;70.65;75.93;138.74;133.58;144.85;77.61;75.30;79.58;134.85;127.92;142.53
080431;Canyelles;66.32;65.81;66.67;146.08;143.89;148.19;78.10;76.97;78.66;116.69;113.33;120.82
080462;Cardedeu;65.69;62.30;70.54;140.59;137.52;142.60;80.66;79.77;81.80;136.06;131.67;139.83
080517;Castellar del Vallﬁs;76.24;74.23;78.23;155.64;141.55;162.54;85.15;82.23;86.80;124.00;115.53;129.18
080543;Castellbisbal;72.87;70.83;75.08;166.61;162.24;170.52;78.12;76.92;79.63;118.53;117.32;122.27
080556;Castellcir;75.13;74.70;75.71;148.08;141.82;155.04;79.31;76.01;84.94;112.12;105.78;117.36
080569;Castelldefels;67.39;64.24;70.86;131.92;129.61;133.85;77.36;75.50;78.79;148.58;147.06;149.96
080581;Castellet i la Gornal;63.94;57.74;67.72;146.75;138.42;155.77;72.89;67.10;76.89;116.77;107.28;125.67
080641;Castellter˛ol;75.09;74.71;75.44;151.59;146.35;155.51;76.42;75.50;78.55;110.51;107.09;114.29
080654;Castellv› de la Marca;62.39;60.97;63.67;135.29;132.56;138.34;66.14;64.15;69.83;105.34;102.45;109.34
080667;Castellv› de Rosanes;71.94;70.25;73.61;166.16;161.70;169.23;81.92;79.86;83.96;123.50;120.63;126.81
080689;Cervellæ;74.40;72.38;75.74;167.79;158.99;173.35;81.09;79.55;84.86;136.86;131.98;142.99
080692;Collbatæ;70.98;69.41;73.63;145.05;142.98;146.13;84.36;83.18;85.76;118.81;113.04;123.95
080728;Corbera de Llobregat;73.89;71.89;75.02;168.57;163.29;171.13;82.10;79.00;84.96;128.99;125.02;133.66
080734;Cornell” de Llobregat;64.11;59.90;67.15;143.42;140.61;145.37;86.18;83.23;90.30;136.66;132.71;142.04
080749;Cubelles;66.33;66.05;67.08;157.13;151.46;164.89;77.25;75.59;78.77;135.31;126.02;149.41
080752;Dosrius;65.86;63.66;68.87;145.20;139.64;149.10;87.25;83.91;91.61;148.00;134.70;158.56
080765;Esparreguera;69.49;68.19;71.01;148.94;145.34;155.88;83.23;80.42;87.01;117.99;113.06;122.36
080771;Esplugues de Llobregat;73.39;70.32;76.64;148.42;146.61;150.42;85.33;84.00;86.61;125.44;121.70;128.93
080811;Fogars de Montcl∑s;75.24;70.92;82.24;152.70;139.53;171.10;71.96;65.52;82.22;149.83;143.48;157.91
080850;Font-rub›;61.69;59.47;64.75;136.20;133.09;142.75;75.64;72.77;79.25;114.62;111.11;121.98
080863;les Franqueses del Vallﬁs;67.07;63.62;71.05;134.88;129.10;140.65;79.03;77.49;80.00;132.38;129.96;136.97
080879;Gallifa;74.84;74.48;75.25;146.38;142.60;149.48;77.82;76.52;79.26;114.88;111.61;118.32
080885;la Garriga;71.44;68.67;73.79;132.02;128.95;133.73;77.26;76.13;77.91;126.56;124.38;129.29
080898;Gav”;66.38;58.43;74.20;133.89;125.84;141.73;78.56;75.21;83.23;149.37;146.64;152.91
080919;Gelida;69.60;66.73;72.66;155.42;148.20;163.20;87.91;85.22;91.76;122.71;116.65;131.16
080945;la Granada;66.77;65.66;67.64;140.05;137.85;141.20;78.60;75.91;83.00;127.79;122.94;131.35
080958;Granera;74.03;72.52;74.71;152.40;150.05;154.60;77.13;76.24;79.12;108.34;106.14;111.58
080961;Granollers;63.99;63.01;64.73;129.84;125.61;133.43;76.28;73.80;78.74;126.45;121.50;131.75
080977;Gualba;74.42;70.46;79.48;168.82;159.62;174.84;79.27;74.47;82.08;149.35;145.03;155.41
081017;l'Hospitalet de Llobregat;70.51;62.57;76.61;151.89;142.46;163.95;95.54;88.57;104.55;133.55;127.09;140.01
081056;la Llagosta;70.01;68.98;71.04;139.15;138.09;140.22;81.43;80.72;82.15;130.71;130.44;130.98
081069;Llinars del Vallﬁs;67.83;61.86;77.33;147.09;140.86;157.64;83.98;81.92;86.58;147.72;132.77;160.84
081075;Lli˛” d'Amunt;66.33;63.21;69.48;119.28;114.63;124.95;73.18;70.08;74.86;122.26;118.12;126.96
081081;Lli˛” de Vall;63.00;61.91;64.06;119.36;116.98;123.31;70.28;68.50;72.13;119.06;116.64;121.77
081108;Malgrat de Mar;60.03;59.71;60.42;109.47;106.44;112.71;77.93;77.22;79.10;124.68;121.52;126.88
081141;Martorell;70.73;69.65;72.12;164.05;160.12;168.12;80.52;79.60;81.29;119.29;118.17;121.46
081154;Martorelles;63.70;63.43;64.02;135.32;133.16;138.04;76.94;75.80;78.49;120.88;120.07;121.31
081189;el Masnou;58.76;58.40;59.12;154.63;154.42;154.85;79.87;79.44;80.31;102.84;101.91;103.76
081206;Matadepera;74.49;73.48;75.39;155.61;152.90;158.42;85.96;83.82;87.10;117.38;111.95;124.03
081213;Mataræ;65.70;63.49;70.25;138.46;132.02;148.68;85.05;81.73;90.40;130.03;121.87;137.88
081228;Mediona;59.75;54.79;64.71;142.36;137.02;150.59;76.59;74.04;79.10;112.21;108.69;114.29
081234;Molins de Rei;75.13;72.67;77.71;153.41;147.94;158.10;80.63;79.47;81.98;122.55;119.39;126.84
081249;Mollet del Vallﬁs;63.95;61.80;65.94;126.60;118.81;135.67;73.06;69.79;77.77;120.99;117.36;126.16
081252;Montcada i Reixac;75.05;65.19;79.52;143.46;119.65;150.67;85.72;71.60;91.80;138.67;119.94;148.25
081265;Montgat;67.34;64.62;69.08;153.09;152.64;153.56;84.80;83.13;86.47;110.08;107.26;111.84
081347;Figaræ-Montmany;73.49;72.15;74.11;132.63;130.00;134.23;77.55;75.96;78.19;124.10;121.59;127.70
081350;Montmelæ;62.89;62.24;63.64;129.66;127.23;131.22;73.99;72.46;75.34;119.37;118.51;120.62
081363;Montornﬁs del Vallﬁs;64.69;62.76;66.15;137.01;131.21;142.05;78.42;74.35;81.45;120.83;118.96;123.22
081379;Montseny;74.00;71.58;75.28;142.61;138.39;146.59;73.69;69.66;77.53;145.19;135.34;153.17
081458;Olﬁrdola;65.80;64.41;67.52;142.85;139.53;145.49;77.10;74.08;78.84;120.71;113.79;130.18
081461;Olesa de Bonesvalls;69.72;67.18;73.38;143.16;137.77;153.37;82.59;79.18;85.40;139.05;134.70;144.18
081477;Olesa de Montserrat;69.04;67.71;71.11;152.89;149.54;156.89;82.19;80.14;85.02;120.37;119.75;120.96
081483;Olivella;66.07;63.91;69.84;144.70;141.35;148.18;76.54;73.40;79.11;130.47;122.01;139.45
081537; rrius;67.74;67.05;68.31;143.68;141.82;145.60;83.55;83.26;84.19;125.38;123.50;127.81
081542;Pacs del Penedﬁs;64.50;64.23;64.94;134.67;132.62;136.35;70.27;68.42;72.08;113.14;109.81;116.36
081555;Palafolls;59.19;58.23;59.97;116.41;110.51;121.16;75.39;72.86;77.20;119.67;115.03;123.51
081568;Palau-solit” i Plegamans;68.33;65.73;70.63;120.44;115.59;125.87;74.73;71.63;77.23;122.27;119.53;125.52
081574;Pallej”;74.68;73.83;75.17;164.21;159.73;168.16;79.30;78.82;79.63;126.42;124.01;128.88
081580;el Papiol;75.59;75.10;76.18;159.00;155.17;163.38;78.90;78.23;79.68;120.38;118.28;122.48
081593;Parets del Vallﬁs;61.48;60.57;62.25;122.29;118.46;127.19;69.47;66.91;71.91;116.82;114.60;120.31
081635;Pineda de Mar;61.20;60.67;62.40;120.07;115.89;129.16;80.91;79.06;82.57;129.80;127.60;134.16
081640;el Pla del Penedﬁs;62.83;61.38;64.22;138.84;137.81;140.01;82.41;79.91;84.77;119.87;117.83;122.19
081672;Poliny”;69.53;68.06;71.48;128.28;124.58;131.26;78.16;76.01;80.27;127.88;124.49;130.92
081688;Pontons;65.31;63.71;67.37;143.84;140.23;148.46;70.39;66.05;74.09;109.04;106.21;111.70
081691;el Prat de Llobregat;59.37;56.69;65.42;132.15;126.14;140.29;92.08;85.93;101.42;145.28;141.79;148.90
081727;Premi” de Mar;69.40;65.75;73.11;153.98;153.95;154.01;86.00;84.05;88.05;116.13;112.89;119.60
081748;Puigd”lber;63.36;62.71;65.08;137.13;135.76;139.50;78.55;76.86;81.58;120.18;118.01;124.13
081799;Rellinars;72.28;70.15;73.92;145.76;144.77;147.89;88.78;87.58;89.99;113.01;110.91;115.12
081803;Ripollet;75.37;73.59;76.54;141.15;138.23;144.17;85.38;83.89;87.24;146.60;143.14;150.35
081810;la Roca del Vallﬁs;64.14;61.19;67.29;138.54;133.80;142.29;81.49;78.84;83.34;130.03;127.34;133.46
081846;Rub›;74.35;72.15;76.80;156.05;146.59;163.28;77.30;75.67;79.55;118.98;116.95;122.22
081878;Sabadell;72.63;70.51;75.15;137.28;131.10;146.63;82.93;79.88;85.41;131.39;128.87;136.73
081939;Sant Iscle de Vallalta;66.35;64.96;68.43;139.97;132.80;150.01;87.29;84.61;90.41;146.14;140.97;150.18
081944;Sant Adri” de Bes?s;75.99;75.28;77.03;159.20;158.36;160.08;98.41;97.57;99.18;131.79;130.37;133.31
081960;Sant Andreu de la Barca;74.13;73.07;74.80;169.13;167.92;169.75;79.40;78.34;80.23;122.49;120.94;124.10
081976;Sant Andreu de Llavaneres;66.74;65.92;67.47;148.29;143.11;153.43;92.34;90.55;93.47;143.28;134.57;151.80
081982;Sant Antoni de Vilamajor;71.57;67.15;76.19;148.28;143.92;153.83;82.49;80.95;83.72;148.18;140.64;156.37
082009;Sant Boi de Llobregat;60.58;56.62;67.69;138.58;129.53;150.76;82.95;79.80;85.82;143.70;140.02;146.95
082021;Sant Celoni;70.69;62.95;81.18;158.99;142.72;174.30;83.13;76.25;88.81;146.74;126.33;160.13
082037;Sant Cebri” de Vallalta;63.76;62.90;64.74;130.65;125.41;138.05;85.59;82.91;88.74;140.04;135.99;144.03
082042;Sant Climent de Llobregat;67.53;64.38;70.62;145.26;140.74;149.39;79.28;78.44;79.89;146.29;143.01;149.17
082055;Sant Cugat del Vallﬁs;78.24;75.13;80.60;146.60;138.05;160.16;84.04;77.76;92.51;123.66;117.02;143.65
082068;Sant Cugat Sesgarrigues;67.14;66.64;67.61;141.93;141.35;142.43;80.07;79.05;81.34;130.63;129.11;131.30
082074;Sant Esteve de Palautordera;80.74;78.10;83.19;158.01;152.24;164.90;78.33;75.24;81.35;153.34;146.17;162.63
082080;Sant Esteve Sesrovires;69.71;69.11;70.50;155.59;148.83;163.11;83.12;81.25;84.94;116.67;113.04;119.88
082093;Sant Fost de Campsentelles;68.53;64.74;72.38;142.49;136.66;147.33;81.35;77.91;83.51;124.79;120.71;129.32
082107;Sant Feliu de Codines;74.37;73.75;74.74;139.78;135.59;143.44;76.35;75.61;76.99;117.96;115.99;119.60
082114;Sant Feliu de Llobregat;72.73;67.86;76.99;150.17;147.92;153.75;81.79;80.48;84.12;126.04;121.07;133.00
082140;Vilassar de Dalt;68.79;67.38;72.53;149.27;147.21;151.44;84.18;83.48;85.55;118.69;116.37;122.38
082172;Sant Joan Desp›;66.32;63.10;68.98;144.94;142.71;146.56;82.49;81.85;83.52;134.16;129.73;138.63
082191;Vilassar de Mar;76.38;73.68;78.18;151.76;149.90;153.12;88.85;87.55;90.59;123.25;120.04;125.56
082212;Sant Just Desvern;74.26;70.71;77.32;148.51;147.15;150.50;84.23;82.22;87.74;123.58;119.99;127.65
082227;Sant Lloren˛ d'Hortons;67.96;66.09;69.78;150.25;145.89;155.72;87.58;84.80;90.72;115.07;112.25;118.65
082233;Sant Lloren˛ Savall;73.67;71.77;75.78;150.98;148.08;153.88;80.21;77.87;83.12;110.39;105.60;118.21
082270;Sant Mart› Sarroca;63.49;62.30;64.26;132.61;129.56;136.01;66.92;64.66;71.82;106.28;103.60;110.84
082303;Premi” de Dalt;66.49;63.68;69.83;152.03;150.20;152.94;83.86;82.96;85.48;115.54;113.48;117.29
082310;Sant Pere de Ribes;65.08;61.98;66.92;150.13;147.35;152.78;76.44;73.41;78.44;126.94;122.49;131.45
082325;Sant Pere de Riudebitlles;57.78;56.71;58.55;137.24;136.89;137.39;80.54;79.78;80.90;114.97;114.10;115.53
082346;Sant Pere de Vilamajor;76.55;71.41;80.05;147.98;140.93;157.42;78.11;73.10;83.18;146.62;139.51;160.46
082359;Sant Pol de Mar;62.98;62.47;63.46;123.59;122.05;125.25;86.72;85.24;88.24;139.34;137.10;141.59
082362;Sant Quint› de Mediona;58.11;56.36;59.83;136.79;135.72;138.21;78.44;77.45;79.72;114.66;113.83;115.94
