CODIMUNI;NOMMUNI
80018;Abrera
80039;Alella
80057;l'Ametlla del Vallﬁs
80060;Arenys de Mar
80076;Arenys de Munt
80095;Argentona
80137;Avinyonet del Penedﬁs
80142;Aiguafreda
80155;Badalona
80193;Barcelona
80207;Begues
80235;Bigues i Riells
80272;les Cabanyes
80291;Cabrera de Mar
80305;Cabrils
80327;Caldes d'Estrac
80333;Caldes de Montbui
80351;Calella
80399;Campins
80403;Canet de Mar
80410;Canovelles
80425;C”noves i Samal∑s
80431;Canyelles
80462;Cardedeu
80517;Castellar del Vallﬁs
80543;Castellbisbal
80556;Castellcir
80569;Castelldefels
80581;Castellet i la Gornal
80641;Castellter˛ol
80654;Castellv› de la Marca
80667;Castellv› de Rosanes
80689;Cervellæ
80692;Collbatæ
80728;Corbera de Llobregat
80734;Cornell” de Llobregat
80749;Cubelles
80752;Dosrius
80765;Esparreguera
80771;Esplugues de Llobregat
80811;Fogars de Montcl∑s
80850;Font-rub›
80863;les Franqueses del Vallﬁs
80879;Gallifa
80885;la Garriga
80898;Gav”
80919;Gelida
80945;la Granada
80958;Granera
80961;Granollers
80977;Gualba
81017;l'Hospitalet de Llobregat
81056;la Llagosta
81069;Llinars del Vallﬁs
81075;Lli˛” d'Amunt
81081;Lli˛” de Vall
81108;Malgrat de Mar
81141;Martorell
81154;Martorelles
81189;el Masnou
81206;Matadepera
81213;Mataræ
81228;Mediona
81234;Molins de Rei
81249;Mollet del Vallﬁs
81252;Montcada i Reixac
81265;Montgat
81347;Figaræ-Montmany
81350;Montmelæ
81363;Montornﬁs del Vallﬁs
81379;Montseny
81458;Olﬁrdola
81461;Olesa de Bonesvalls
81477;Olesa de Montserrat
81483;Olivella
81537; rrius
81542;Pacs del Penedﬁs
81555;Palafolls
81568;Palau-solit” i Plegamans
81574;Pallej”
81580;el Papiol
81593;Parets del Vallﬁs
81635;Pineda de Mar
81640;el Pla del Penedﬁs
81672;Poliny”
81688;Pontons
81691;el Prat de Llobregat
81727;Premi” de Mar
81748;Puigd”lber
81799;Rellinars
81803;Ripollet
81810;la Roca del Vallﬁs
81846;Rub›
81878;Sabadell
81939;Sant Iscle de Vallalta
81944;Sant Adri” de Bes?s
81960;Sant Andreu de la Barca
81976;Sant Andreu de Llavaneres
81982;Sant Antoni de Vilamajor
82009;Sant Boi de Llobregat
82021;Sant Celoni
82037;Sant Cebri” de Vallalta
82042;Sant Climent de Llobregat
82055;Sant Cugat del Vallﬁs
82068;Sant Cugat Sesgarrigues
82074;Sant Esteve de Palautordera
82080;Sant Esteve Sesrovires
82093;Sant Fost de Campsentelles
82107;Sant Feliu de Codines
82114;Sant Feliu de Llobregat
82140;Vilassar de Dalt
82172;Sant Joan Desp›
82191;Vilassar de Mar
82212;Sant Just Desvern
82227;Sant Lloren˛ d'Hortons
82233;Sant Lloren˛ Savall
82270;Sant Mart› Sarroca
82303;Premi” de Dalt
82310;Sant Pere de Ribes
82325;Sant Pere de Riudebitlles
82346;Sant Pere de Vilamajor
82359;Sant Pol de Mar
82362;Sant Quint› de Mediona
82384;Sant Quirze del Vallﬁs
82397;Sant Quirze Safaja
82401;Sant Sadurn› d'Anoia
82444;Santa Coloma de Cervellæ
82457;Santa Coloma de Gramenet
82482;Santa Eul”lia de Ron˛ana
82495;Santa Fe del Penedﬁs
82515;Santa Margarida i els Monjos
82520;Barber” del Vallﬁs
82567;Santa Maria de Martorelles
82592;Santa Maria de Palautordera
82606;Santa Perpﬁtua de Mogoda
82613;Santa Susanna
82634;Sant Vicen˛ dels Horts
82649;Sant Vicen˛ de Montalt
82665;Cerdanyola del Vallﬁs
82671;Sentmenat
82704;Sitges
82732;Subirats
82763;Tagamanent
82798;Terrassa
82819;Tei”
82824;Tiana
82845;Tordera
82877;Torrelavit
82883;Torrelles de Foix
82896;Torrelles de Llobregat
82900;Ullastrell
82917;Vacarisses
82943;Vallgorguina
82956;Vallirana
82969;Vallromanes
83008;Viladecavalls
83015;Viladecans
83041;Vilob› del Penedﬁs
83054;Vilafranca del Penedﬁs
83067;Vilalba Sasserra
83073;Vilanova i la Geltr∑
89024;Vilanova del Vallﬁs
89045;Badia del Vallﬁs
89058;la Palma de Cervellæ
;Regio Metropolitana Barcelona
;Area Metropolitana Barcelona
;B-30
