CODIMUNI;NOMMUNI;2017_mean;2017_min;2017_max;2018_mean;2018_min;2018_max;2019_mean;2019_min;2019_max;2020_mean;2020_min;2020_max
80018;Abrera;0.34;-0.47;1.00;0.37;-0.36;0.80;0.43;-0.47;1.00;0.49;-0.53;0.84
80039;Alella;0.35;-0.46;0.81;0.39;-0.38;1.00;0.42;-0.58;0.83;0.45;-1.00;0.84
80057;l'Ametlla del Vallﬁs;0.33;-0.47;0.84;0.38;-0.42;0.83;0.46;-0.51;1.00;0.54;-1.00;1.00
80060;Arenys de Mar;0.35;-0.53;0.83;0.35;-0.52;0.81;0.34;-0.58;0.83;0.37;-0.48;0.81
80076;Arenys de Munt;0.49;-0.40;0.83;0.50;-0.46;1.00;0.52;-0.48;1.00;0.56;-0.47;0.87
80095;Argentona;0.47;-0.39;1.00;0.45;-0.51;1.00;0.50;-0.49;1.00;0.62;-1.00;0.86
80137;Avinyonet del Penedﬁs;0.30;-0.44;1.00;0.40;-0.54;0.82;0.35;-0.36;0.82;0.46;-0.54;0.83
80142;Aiguafreda;0.52;-0.43;0.84;0.56;-0.42;0.85;0.54;-0.43;0.85;0.63;-0.39;0.85
80155;Badalona;0.22;-0.50;1.00;0.26;-0.47;0.80;0.32;-0.53;1.00;0.34;-0.62;1.00
80193;Barcelona;0.18;-0.59;1.00;0.23;-0.61;1.00;0.27;-0.64;1.00;0.30;-1.00;1.00
80207;Begues;0.48;-0.51;1.00;0.47;-0.47;1.00;0.48;-0.55;1.00;0.54;-1.00;1.00
80235;Bigues i Riells;0.42;-0.55;0.82;0.49;-0.54;1.00;0.49;-0.80;0.86;0.61;-0.30;0.87
80272;les Cabanyes;0.15;-0.18;0.75;0.33;-0.27;0.81;0.23;-0.33;0.74;0.39;-1.00;0.77
80291;Cabrera de Mar;0.39;-0.48;1.00;0.34;-0.40;1.00;0.37;-0.47;1.00;0.48;-0.36;0.86
80305;Cabrils;0.44;-0.60;1.00;0.41;-0.44;1.00;0.44;-0.56;1.00;0.55;-0.32;0.86
80327;Caldes d'Estrac;0.32;-0.45;0.78;0.29;-0.38;0.78;0.33;-0.46;1.00;0.41;-0.38;0.85
80333;Caldes de Montbui;0.41;-0.55;0.85;0.46;-0.51;0.85;0.51;-0.48;0.86;0.61;-1.00;0.86
